date,travel
3/25/2019,"2,273,811"
3/24/2019,"2,151,913"
3/23/2019,"2,434,370"
3/22/2019,"2,542,643"
3/21/2019,"2,227,181"
3/20/2019,"2,559,307"
3/19/2019,"2,513,231"
3/18/2019,"2,320,885"
3/17/2019,"2,177,929"
3/16/2019,"2,465,709"
3/15/2019,"2,545,742"
3/14/2019,"2,274,658"
3/13/2019,"2,634,215"
3/12/2019,"2,503,924"
3/11/2019,"2,187,298"
3/10/2019,"2,122,898"
3/9/2019,"2,378,673"
3/8/2019,"2,485,430"
3/7/2019,"2,156,262"
3/6/2019,"2,543,689"
3/5/2019,"2,402,692"
3/4/2019,"2,143,619"
3/3/2019,"1,979,558"
3/2/2019,"2,257,920"
3/1/2019,"2,301,439"
2/28/2019,"2,307,393"
2/27/2019,"2,015,079"
2/26/2019,"1,861,286"
2/25/2019,"2,160,322"
2/24/2019,"2,197,938"
2/23/2019,"2,274,217"
2/22/2019,"2,331,841"
2/21/2019,"2,415,570"
2/20/2019,"2,351,856"
2/19/2019,"2,022,861"
2/18/2019,"2,177,690"
2/17/2019,"2,476,445"
2/16/2019,"2,147,045"
2/15/2019,"1,922,613"
2/14/2019,"2,227,730"
2/13/2019,"1,950,385"
2/12/2019,"1,620,239"
2/11/2019,"2,055,827"
2/10/2019,"2,105,696"
2/9/2019,"1,648,328"
2/8/2019,"2,134,744"
2/7/2019,"2,064,640"
2/6/2019,"1,756,152"
2/5/2019,"1,655,868"
2/4/2019,"2,001,482"
2/3/2019,"1,792,677"
2/2/2019,"1,591,591"
2/1/2019,"2,078,169"
1/31/2019,"1,938,817"
1/30/2019,"1,593,697"
1/29/2019,"1,534,386"
1/28/2019,"1,862,420"
1/27/2019,"2,010,374"
1/26/2019,"1,571,077"
1/25/2019,"2,052,814"
1/24/2019,"1,991,328"
1/23/2019,"1,763,884"
1/22/2019,"1,804,629"
1/21/2019,"2,179,066"
1/20/2019,"1,776,235"
1/19/2019,"1,600,698"
1/18/2019,"2,271,398"
1/17/2019,"2,139,242"
1/16/2019,"1,786,012"
1/15/2019,"1,605,758"
1/14/2019,"1,886,642"
1/13/2019,"1,970,450"
1/12/2019,"1,604,862"
1/11/2019,"1,959,788"
1/10/2019,"1,955,200"
1/9/2019,"1,739,642"
1/8/2019,"1,733,739"
1/7/2019,"2,044,043"
1/6/2019,"2,229,391"
1/5/2019,"1,975,947"
1/4/2019,"2,150,571"
1/3/2019,"2,202,111"
1/2/2019,"2,345,103"
1/1/2019,"2,126,398"
